IE_XML_ID,IE_NAME,PHOTO_PREV,LOGO,ZADACH
377,Горнорудная компания “Алроса”,https://veonix.ru/wp/wp-content/uploads/2019/06/alrosa640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/06/alrosalogo.svg,Дизайн и верстка маркетингового отчета о продвижении продукции бренда
407,Jeratix,https://veonix.ru/wp/wp-content/uploads/2019/02/jeratix001.png,https://veonix.ru/wp/wp-content/uploads/2019/02/jeratixlogo.svg,"Создать интуитивно понятный, современный интерфейс платформы"
409,Кадровое агентство АРТБ,https://veonix.ru/wp/wp-content/uploads/2019/09/hcfe-640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/08/arck.svg,Разработка веб портала
412,Перевозчик крупногабаритных грузов,https://veonix.ru/wp/wp-content/uploads/2019/06/artb640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/06/artblogo.svg,Создание современного многостраничного сайта кадрового агентства с адаптивной версткой
391,"Инвестиционный фонд ""Bars Capital LTD""",https://veonix.ru/wp/wp-content/uploads/2019/09/barrusweb640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/09/barrus.svg,Разработка сайта логистической компании
345,"Мобильный оператор ""Билайн""",https://veonix.ru/wp/wp-content/uploads/2019/09/barscap640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/09/barslogo.svg,Создать мощный маркетинг-кит и презентацию
335,Косметическая компания,https://veonix.ru/wp/wp-content/uploads/2018/06/beeline640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/p3.svg,"Создать лаконичную корпоративную презентацию 
о компании на английском языке"
331,1C:Отель,https://veonix.ru/wp/wp-content/uploads/2018/06/moran640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/moran.svg,Разработка единой стилистической концепции бренда
338,"Логистическая компания ""Barrus Projects""",https://veonix.ru/wp/wp-content/uploads/2018/06/1chotel640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color1806181-chotel.svg,Разработка корпоративной айдентики и маркетинг-кита
339,"Компания ""Технологии приборостроения""",https://veonix.ru/wp/wp-content/uploads/2018/11/zakazat-firmenniy-stil-logisticheskoy-kompanii.png,https://veonix.ru/wp/wp-content/uploads/2018/11/barruss.svg,"Разработка айдентики, интернет портала, презентации"
355,Компания Thermos,https://veonix.ru/wp/wp-content/uploads/2018/11/zakazatfirmenniystilproizvodstvo.png,https://veonix.ru/wp/wp-content/uploads/2018/11/ТП_3_на-сайт.svg,"Брендинг, разработка серии веб-сайтов"
364,Ситилинк,https://veonix.ru/wp/wp-content/uploads/2018/06/thermos640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618thermos.svg,Разработка презентации для деловых встреч
361,"Оптовый поставщик кофе ""BoneFuse""",https://veonix.ru/wp/wp-content/uploads/2018/12/citilink640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/12/citilink.svg,Разработка презентации
410,Gasparov Empire,https://veonix.ru/wp/wp-content/uploads/2018/11/bonfuse.png,https://veonix.ru/wp/wp-content/uploads/2018/11/bonfuse-logo.svg,"Разработка фирменного стиля, презентации"
405,PR-агентство,https://veonix.ru/wp/wp-content/uploads/2019/06/gasparovem640x425.png,https://veonix.ru/wp/wp-content/uploads/2019/05/logogasparov.svg,Создание сайта кондитерской
334,Инвестиционная компания Ярд Капитал,https://veonix.ru/wp/wp-content/uploads/2018/06/pr-agency-site.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color190618-4.svg,Разработка дизайна посадочной страницы
337,Стартап в области ритейла,https://veonix.ru/wp/wp-content/uploads/2018/06/firmenniy-stil-investicionnoy-kompanii.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618.svg,Разработка бренда для криптофонда
349,Застройщик выставочных стендов премиум-сегмента,https://veonix.ru/wp/wp-content/uploads/2018/06/bitposter640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618bitposter.svg,Разработка фирменного стиля
340,Эко-ферма,https://veonix.ru/wp/wp-content/uploads/2018/06/winsla640x425.png,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618winsla.svg,Разработка корпоративной айдентики для повышения продаж
333,Производитель спортивных напитков,https://veonix.ru/wp/wp-content/uploads/2019/05/milkgasparov001.png,https://veonix.ru/wp/wp-content/uploads/2019/05/logogasparov.svg,Разработка бренда молочной продукции
336,Чайная компания,https://veonix.ru/wp/wp-content/uploads/2018/06/fil8.jpg,https://veonix.ru/wp/wp-content/uploads/2018/06/100-25-color180618freshpoint.svg,Разработка дизайна бутылки и этикетки спортивной воды
396,Unicredit Bank,https://veonix.ru/wp/wp-content/uploads/2018/06/design-tea.png,https://veonix.ru/wp/wp-content/uploads/2018/06/p25.svg,Разработать дизайн упаковки для чая
341,Индивидуальный предприниматель,https://veonix.ru/wp/wp-content/uploads/UniCredit_640x425.jpg,https://veonix.ru/wp/wp-content/uploads/UniCredit_logo.svg,Разработка серии презентаций
343,Fit & Eat,https://veonix.ru/wp/wp-content/uploads/Octagon_640x425.jpg,https://veonix.ru/wp/wp-content/uploads/Octagon_logo.svg,Стильный дизайн для товаров на Amazon
342,Agro Export Russia,https://veonix.ru/wp/wp-content/uploads/Peanut-butter_preview-1.png,https://veonix.ru/wp/wp-content/uploads/fit_eat_logo.svg,Разработать яркий и узнаваемый дизайн упаковок для двух видов продуктов здорового питания
